order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,order_item_quantity
ord_0000001,1,prod_00005,sell_0034,2025-01-21 18:05:55,670.67,28.36,3
ord_0000002,1,prod_00063,sell_0064,2025-03-04 04:34:38,667.51,42.74,1
ord_0000002,2,prod_00066,sell_0098,2025-03-04 04:34:38,988.59,43.66,3
ord_0000002,3,prod_00190,sell_0063,2025-03-04 04:34:38,561.08,34.31,1
ord_0000003,1,prod_00165,sell_0008,2025-07-12 15:26:16,635.87,38.56,1
ord_0000003,2,prod_00172,sell_0007,2025-07-12 15:26:16,920.74,21.5,3
ord_0000003,3,prod_00060,sell_0009,2025-07-12 15:26:16,853.0,5.37,2
ord_0000004,1,prod_00137,sell_0071,2025-01-27 11:26:09,502.44,5.67,3
ord_0000005,1,prod_00028,sell_0013,2025-10-02 00:31:04,636.4,14.64,2
ord_0000006,1,prod_00021,sell_0048,2025-05-21 15:37:49,1151.77,23.36,1
ord_0000006,2,prod_00179,sell_0029,2025-05-21 15:37:49,370.47,38.12,1
ord_0000007,1,prod_00003,sell_0090,2025-05-31 06:59:48,218.09,24.99,1
ord_0000007,2,prod_00166,sell_0043,2025-05-31 06:59:48,685.54,39.32,1
ord_0000007,3,prod_00136,sell_0006,2025-05-31 06:59:48,287.27,41.05,3
ord_0000008,1,prod_00005,sell_0027,2025-01-22 01:59:20,710.64,35.09,3
ord_0000008,2,prod_00102,sell_0010,2025-01-22 01:59:20,369.64,27.56,2
ord_0000009,1,prod_00186,sell_0011,2025-10-18 06:55:29,608.44,43.97,1
ord_0000009,2,prod_00026,sell_0056,2025-10-18 06:55:29,290.09,8.04,2
ord_0000009,3,prod_00197,sell_0079,2025-10-18 06:55:29,1146.51,20.87,1
ord_0000010,1,prod_00097,sell_0056,2025-11-04 07:11:52,235.1,28.44,1
ord_0000010,2,prod_00022,sell_0099,2025-11-04 07:11:52,748.06,36.92,3
ord_0000010,3,prod_00019,sell_0011,2025-11-04 07:11:52,332.55,20.2,3
ord_0000011,1,prod_00027,sell_0017,2025-01-06 00:25:22,118.45,22.24,2
ord_0000011,2,prod_00143,sell_0066,2025-01-06 00:25:22,498.53,6.05,1
ord_0000012,1,prod_00063,sell_0074,2025-04-27 08:12:52,632.51,32.41,1
ord_0000012,2,prod_00036,sell_0035,2025-04-27 08:12:52,371.84,24.72,1
ord_0000012,3,prod_00043,sell_0056,2025-04-27 08:12:52,342.01,16.99,1
ord_0000013,1,prod_00035,sell_0039,2025-10-10 23:16:11,23.02,20.83,2
ord_0000014,1,prod_00155,sell_0089,2025-11-16 16:46:56,253.01,17.57,1
ord_0000014,2,prod_00082,sell_0038,2025-11-16 16:46:56,885.83,30.32,2
ord_0000015,1,prod_00052,sell_0076,2025-05-30 01:05:22,1196.76,12.2,2
ord_0000015,2,prod_00007,sell_0094,2025-05-30 01:05:22,562.02,33.33,1
ord_0000015,3,prod_00075,sell_0089,2025-05-30 01:05:22,96.95,38.91,1
ord_0000016,1,prod_00019,sell_0058,2025-04-07 23:48:02,1188.98,24.17,1
ord_0000016,2,prod_00137,sell_0065,2025-04-07 23:48:02,1109.34,39.79,1
ord_0000017,1,prod_00157,sell_0006,2025-02-15 11:23:48,682.42,30.8,3
ord_0000017,2,prod_00103,sell_0097,2025-02-15 11:23:48,407.94,36.85,1
ord_0000017,3,prod_00003,sell_0013,2025-02-15 11:23:48,321.6,25.43,2
ord_0000018,1,prod_00007,sell_0062,2025-09-29 03:20:31,138.89,21.64,1
ord_0000018,2,prod_00030,sell_0094,2025-09-29 03:20:31,182.89,17.48,1
ord_0000019,1,prod_00113,sell_0093,2025-07-10 13:11:47,840.66,17.76,1
ord_0000020,1,prod_00190,sell_0032,2025-01-12 18:30:30,626.45,27.08,1
ord_0000021,1,prod_00008,sell_0095,2025-03-16 15:12:54,742.72,12.89,2
ord_0000021,2,prod_00110,sell_0050,2025-03-16 15:12:54,20.27,13.59,1
ord_0000022,1,prod_00051,sell_0059,2025-07-31 12:10:05,150.04,31.83,1
ord_0000022,2,prod_00136,sell_0082,2025-07-31 12:10:05,386.38,20.55,1
ord_0000023,1,prod_00152,sell_0011,2025-11-28 08:47:49,811.45,17.53,1
ord_0000023,2,prod_00079,sell_0015,2025-11-28 08:47:49,231.91,32.74,2
ord_0000023,3,prod_00100,sell_0054,2025-11-28 08:47:49,721.76,27.99,1
ord_0000024,1,prod_00081,sell_0058,2025-08-07 12:09:36,749.0,39.62,1
ord_0000025,1,prod_00127,sell_0053,2025-06-02 02:37:08,826.37,21.63,1
ord_0000025,2,prod_00126,sell_0022,2025-06-02 02:37:08,112.96,6.23,1
ord_0000025,3,prod_00075,sell_0005,2025-06-02 02:37:08,340.7,26.5,1
ord_0000026,1,prod_00141,sell_0066,2025-10-19 08:46:18,149.16,9.57,2
ord_0000026,2,prod_00094,sell_0070,2025-10-19 08:46:18,989.79,6.66,3
ord_0000027,1,prod_00168,sell_0097,2025-03-29 20:57:30,308.32,39.99,1
ord_0000027,2,prod_00116,sell_0034,2025-03-29 20:57:30,428.06,37.67,1
ord_0000027,3,prod_00031,sell_0100,2025-03-29 20:57:30,977.09,13.4,3
ord_0000028,1,prod_00043,sell_0079,2025-10-07 00:42:25,179.99,13.26,1
ord_0000028,2,prod_00016,sell_0073,2025-10-07 00:42:25,430.72,16.24,2
ord_0000029,1,prod_00174,sell_0013,2025-10-04 10:15:24,175.67,35.0,1
ord_0000029,2,prod_00016,sell_0036,2025-10-04 10:15:24,1042.45,10.08,1
ord_0000029,3,prod_00064,sell_0019,2025-10-04 10:15:24,858.0,38.14,3
ord_0000030,1,prod_00104,sell_0066,2025-06-13 20:51:27,903.52,32.79,1
ord_0000031,1,prod_00179,sell_0046,2025-12-07 10:48:26,1022.38,36.83,1
ord_0000031,2,prod_00056,sell_0055,2025-12-07 10:48:26,992.44,24.79,1
ord_0000031,3,prod_00073,sell_0044,2025-12-07 10:48:26,663.56,10.22,1
ord_0000032,1,prod_00113,sell_0059,2025-11-04 10:22:55,15.8,43.32,1
ord_0000033,1,prod_00168,sell_0047,2026-01-01 05:37:56,311.71,19.87,3
ord_0000034,1,prod_00024,sell_0091,2025-06-06 22:10:16,127.79,13.54,1
ord_0000034,2,prod_00034,sell_0076,2025-06-06 22:10:16,283.04,32.2,1
ord_0000034,3,prod_00003,sell_0090,2025-06-06 22:10:16,422.14,9.82,1
ord_0000035,1,prod_00036,sell_0049,2025-11-13 00:03:43,931.55,35.13,1
ord_0000035,2,prod_00165,sell_0087,2025-11-13 00:03:43,184.28,26.22,1
ord_0000036,1,prod_00114,sell_0028,2025-10-21 14:22:15,117.73,9.02,1
ord_0000036,2,prod_00151,sell_0094,2025-10-21 14:22:15,470.08,43.53,1
ord_0000036,3,prod_00036,sell_0032,2025-10-21 14:22:15,343.21,8.37,2
